"Übergeordnete ID-Nummer",ID-Nummer,Kurzname,Beschreibung,Beschreibungsformat,Skalenwerte,Skalenkonfiguration,"Regeltyp (optional)","Regelergebnis (optional)","Regelkonfiguration (optional)","Querverweisende Kompetenz-ID-Nummern","Exportierte ID (optional)","Ist Kompetenzrahmen",Taxonomie
1_ESCOadGA,1_ESCOadGA-DB_2_c_2,"Ordnerstrukturen anwenden","<p dir=""ltr"" style=""text-align:left;""></p><p>Die OncaPflege- Teilnehmenden können die Bedeutung einer Ordnerstruktur wiedergeben und Dateiordner im Sinne der Arbeitsprozessanforderungen in der beruflichen Pflege strukturieren</p><br /><p></p>",1,,,,0,null,,190,,
1_ESCOadGA,1_ESCOadGA-VUmD_3_1_a,"Einfallstore für Cyberangriffe erkennen","Die OncaPflege Teilnehmenden ermitteln mögliche Einfallstore für Cyberangriffe in der beruflichen Pflege.",0,,,,0,null,,191,,
1_ESCOadGA,1_ESCOadGA-VUmD_3_2_a,"Einfallstore für Cyberangriffe schließen","Die OncaPflege Teilnehmenden benennen  typische Einfallswege für Cyberattacken und bewerten die Maßnahmen zur Wahrung der Vertraulichkeit der Nutzerdaten in ihrem Unternehmen.",0,,,,0,null,,192,,
,1_KgPuP,"Kernelemente guter Pflege und Haltung im Verhältnis von Pflege und Technik","<p dir=""ltr"" style=""text-align:left;""></p><p>Die OncaPflege-Teilnehmenden  erläutern die Kernelemente guter Pflege und  positionieren ihre eigene Haltung im historisch gewachsenen Verhältnis von Pflege und Technik.</p><br /><p></p>",1,,,"core_competency\competency_rule_all",2,null,,193,,
1_KgPuP,1_KgPuP-VPUT_1_1,"Aufzählung von fünf Charakteristika guter Pflege","OncaPflege-Teilnehmende nennen fünf Charakteristika guter Pflege.",0,,,,0,null,,194,,
1_KgPuP,1_KgPuP-VPUT_1_2_a,"Definition von Pflege als ""wissensbasiertes Handeln"" im Kontext guter Pflege","OncaPflege-Teilnehmende definieren Pflege als 'wissensbasiertes Handeln' als Charakteristikum für gute Pflege.",0,,,,0,null,,195,,
1_KgPuP,1_KgPuP-VPUT_1_2_b,"Definition von Pflege als ""Interaktionsarbeit"" im Kontext guter Pflege","OncaPflege-Teilnehmende definieren Pflege als 'Interaktionsarbeit' als Charakteristikum für gute Pflege.",0,,,,0,null,,196,,
1_KgPuP,1_KgPuP-VPUT_1_2_c,"Definition von Pflege als ""körperorientiertes Handeln"" im Kontext guter Pflege","OncaPflege-Teilnehmende definieren Pflege als 'körperorientiertes Handeln' als Charakteristikum für gute Pflege.",0,,,,0,null,,197,,
1_KgPuP,1_KgPuP-VPUT_1_2_e,"Definition von Pflege als ""Arbeit in Ungewissheit"" im Kontext guter Pflege","Die OncaPflege-Teilnehmenden definieren Pflege als 'Arbeit in Ungewissheit' und als Charakteristikum für gute Pflege.",0,,,,0,null,,198,,
1_KgPuP,1_KgPuP-VPUT_1_2_d,"Definition von Pflege als ""Arbeit in komplexen Arrangements"" im Kontext guter Pflege","<p dir=""ltr"" style=""text-align:left;"">OncaPflege-Teilnehmende definieren Pflege als 'Arbeit in komplexen Arrangements' und als Charakteristikum für gute Pflege.<br /></p>",1,,,,0,null,,199,,
1_KgPuP,1_KgPuP-VPUT_2_1,"Wichtigkeit von Technik für künftige Pflege darstellenBegriff ""Technik"" in beruflichem ...","Die OncaPflege-Teilnehmenden
geben die Bedeutung von Technik für die Zukunft der beruflichen Pflege wieder.

Die OncaPflege-Teilnehmenden definieren den Begriff Technik.",0,,,,0,null,,200,,
1_KgPuP,1_KgPuP-VPUT_2_2_a,"Gründe für das Spannungsfeld zwischen Pflege und Technik aufzeigenArgumente aus ...","Die OncaPflege-Teilnehmenden nennen Gründe für das Spannungsverhältnis zwischen Technik und Pflege.

Die OncaPflege-Teilnehmenden geben die Argumentationen der pflegewissenschaftlichen Debatte über das Verhältnis von Pflege und Technik wieder.",0,,,,0,null,,201,,
1_KgPuP,1_KgPuP-VPUT_2_2_b,"Begriffe ""Hands-On-Beziehung"", ""In-the-flesh-Technik"", ""Craft-Technology"" ...","Die Onca-Pflege-Teilnehmenden definieren die Begriffe  Hands-On-Beziehung, In-the-flesh-technik und Craft-Technology.

Die Onca-Pflege-Teilnehmenden geben die Veränderungen der Beziehung zwischen Pflege und Technik im Verlauf der Vorkriegszeit wieder.",0,,,,0,null,,202,,
1_KgPuP,1_KgPuP-VPUT_2_2_c,"Wichtige Meilensteine in Pflege- und Gesundheitswesensgeschichte nennenEinfluss von Technik ...","Die Onca-Pflege-Teilnehmenden nennen Techniken die für die Geschichte der Pflege und des Gesundheitswesens wichtige Meilensteine darstellen.

Die Onca-Pflege-Teilnehmenden beschreiben den Einfluss von Technik auf die Entwicklung der Pflege.",0,,,,0,null,,203,,
1_KgPuP,1_KgPuP-VPUT_2_3_a,"Standpunkte zur Technik in der Pflege während Nachkriegszeit, Optimismus, Pessimismus, ...","Die Onca-Pflege-Teilnehmenden beschreiben die Positionen zu Technik in der Pflege in der Nachkriegszeit, Optimismus, Pessimismus, Essentialismus, Romantizismus und nursing on the factory level, mit eigenen Worten.",0,,,,0,null,,204,,
1_KgPuP,1_KgPuP-VPUT_2_3_b,"Sozialkonstruktivismus in Bezug auf Technik positionieren und erläutern","Die Onca-Pflege-Teilnehmenden beschreiben die Position des Sozialkonstruktivismus mit eigenen Worten und erläutern wie Technik und Wahrnehmung auf einander Einfluss nehmen.",0,,,,0,null,,205,,
,2_dTuB,"Digitale Technologien aus pflegefachlicher Perspektive, Nutzung von Bewertungsinstrumenten","Die OncaPflege-Teilnehmenden  sortieren digitale Technologien aus einer pflegefachlichen Perspektive und schätzen diese unter Nutzung angemessener Bewertungsinstrumente in ihrer Bedeutung für die Pflege und Pflegebildung ein.",1,,,"core_competency\competency_rule_all",2,null,,206,,
2_dTuB,2_dTuB-VPuT_3_1,"Das TAP-Modell erklären","Die OncaPflege-Teilnehmenden benennen die fünf Kategorien des TAP-Modells. Die OncaPflege-Teilnehmenden skizzieren die Vorzüge des TAP-Modells gegenüber anderen Systematisierungsversuchen.",0,,,,0,null,,207,,
2_dTuB,2_dTuB-VPuT_3_2_a,"Die Kategorie Steuerung und Verwaltunge des TAP-Modell erklären.","Die Teilnehmenden benennen die TAP-Merkmale der Technologie digitale Pflegedokumentation.  Die Teilnehmenden beschreiben eine eigene Technologie der Kategorie „Steuerung und Verwaltung“ anhand der TAP-Merkmale.",0,,,,0,null,,208,,
2_dTuB,2_dTuB-VPuT_3_2_b,"Die Kategorie Interaktion und Beziehung des TAP-Modell erklären.","Die Teilnehmenden benennen die TAP-Merkmale der Technologie digitaler Aktivitätstisch. Die Teilnehmenden beschreiben eine eigene Technologie der Kategorie „Interaktion und Beziehung“ anhand der TAP-Merkmale.",0,,,,0,null,,209,,
2_dTuB,2_dTuB-VPuT_3_2_c,"Die Kategorie Wissensweitergabe und -erwerb des TAP-Modell erklären.","Die Teilnehmenden benennen die TAP-Merkmale der Technologie ‚Skills Lab‘.  Die Teilnehmenden beschreiben eine eigene Technologie der Kategorie „Wissensweitergabe und -erwerb“ anhand der TAP-Merkmale.",0,,,,0,null,,210,,
2_dTuB,2_dTuB-VPuT_3_2_d,"Die Kategorie Professionelle Zusammenarbeit des TAP-Modell erklären.","Die Teilnehmenden benennen die TAP-Merkmale der Technologie Televisite. Die Teilnehmenden beschreiben eine eigene Technologie der Kategorie „Professionelle Zusammenarbeit“ anhand der TAP-Merkmale.",0,,,,0,null,,211,,
2_dTuB,2_dTuB-VPuT_3_2_e,"Die Kategorie Körpernahe Pflege des TAP-Modell erklären.","Die Teilnehmenden beschreiben die Technologie der aktiven Exoskelette. Die Teilnehmenden reflektieren die Kategorien des TAP-Modells und entwickeln das Modell weiter.",0,,,,0,null,,212,,
2_dTuB,2_dTuB-VPUT_4_1_c,"Definition eines Instruments zur Bewertung digitaler Medien in der Pflegebildung","Die Pflegefachperson definiert ein Instrument zur Bewertung von digitalen Medien in der Pflegebildung.",0,,,,0,null,,213,,
2_dTuB,2_dTuB-VPUT_4_1_b,"Bewertung von Gesundheitswebseiten","Die Teilnehmenden geben die Prinzipien des afgis-Qualitätslogos wieder. Die Teilnehmenden bewerten auf Basis der Kriterien eine Gesundheitswebseite.",0,,,,0,null,,214,,
2_dTuB,2_dTuB-VPUT_4_1_a,"Bewertung von Gesundheits-Apps – Checkliste für Patient:innen","Die Teilnehmenden wenden die Checkliste zur Bewertung von Gesundheits-Apps mit Hilfe eines Beispiels an und treffen eine adäquate Entscheidung für oder gegen die Nutzung einer Beispiel-App. Die Teilnehmenden positionieren sich, ob die Anwendung der Checkliste zur Bewertung von Gesundheits-Apps sinnvoll ist.
Die Teilnehmenden reflektieren die Anwendung der Checkliste zur Bewertung von Gesundheits-Apps mit eigenen Worten.",0,,,,0,null,,215,,
2_dTuB,2_dTuB-VPUT_4_1_d,"Ethische Bewertung von Technologien in der Pflege und Reflektion der Instrumente","Die OncaPflege-Teilnehmenden benennen und beschreiben die sieben ethischen Dimensionen des MEESTAR. Die OncaPflege-Teilnehmenden bewerten das MEESTAR anhand ihrer eigenen Einschätzung.",1,,,,0,null,,216,,
,3_EMuTR,"Einsatz von Medien und Technik in der Pflegebildung reflektieren","Die OncaPflege-Teilnehmenden reflektieren den Einsatz von Medien und Technik in der Pflegebildung.",1,,,"core_competency\competency_rule_all",2,null,,217,,
3_EMuTR,3_EMuTR-VPuT_4_1_c,"Instrument zur Bewertung digitaler Medien in der Pflegebildung definieren","<p dir=""ltr"" style=""text-align:left;""></p><p>Die Pflegefachperson definiert ein Instrument zur Bewertung von digitalen Medien in der Pflegebildung</p><br /><p></p>",1,,,,0,null,,218,,
3_EMuTR,3_EMuTR-BidZ_1_a_1,"Serious Games definieren und bewerten","<p dir=""ltr"" style=""text-align:left;""></p><p>Die OncaPflege-Teilnehmenden definieren den Begriff Serious Games und benennen die Ziele und die Vor- und Nachteile von „Take Care”.</p><br /><p></p>",1,,,,0,null,,219,,
,4_CGVdT,"Vernetzung von Pflegefachpersonen und vernetzende Technologien bewerten ","Die OncaPflege-Teilnehmenden diskutieren die Chancen und Grenzen von Vernetzung von Pflegefachpersonen und den Einsatz von digitalen Technologien für die Vernetzung von Pflegenden.",1,,,"core_competency\competency_rule_all",2,null,,220,,
4_CGVdT,4_CGVdT-BidZ_1_b_1,"Vernetzung definieren und beschreiben","<p dir=""ltr"" style=""text-align:left;""></p><p>Die Teilnehmenden definieren den Begriff „Vernetzung“ und beschreiben den Stellenwert digitaler Vernetzung in unserer Gesellschaft </p><br /><p></p>",1,,,,0,null,,221,,
4_CGVdT,4_CGVdT-BidZ_1_b_2_a,"Formelle Vernetzung von Pflegefachpersonen bewerten","Die Teilnehmenden arbeiten die Chancen und Herausforderungen des Einsatzes von digitalen Plattformen zur formellen Vernetzung von Pflegefachpersonen aus und geben sie wieder.",1,,,,0,null,,222,,
4_CGVdT,4_CGVdT-BidZ_1_b_2_b,"Informelle Vernetzung von Pflegefachpersonen bewerten","<p dir=""ltr"" style=""text-align:left;""></p><p>Die Teilnehmenden reflektieren den Einsatz von digitalen Plattformen zur informellen Vernetzung von Pflegefachpersonen und beziehen Stellung zum Gebrauch ebendieser Medien</p><br /><p></p>",1,,,,0,null,,223,,
,5_ESCOpnds,"ESCO: Privatsphäre von Nutzern/Nutzerinnen von Dienstleistungen schützen","Achtung und Schutz der Würde und der Privatsphäre des Kunden, Schutz seiner vertraulichen Informationen und deutliche Erklärung der Vertraulichkeitsrichtlinien gegenüber dem Kunden und anderen Beteiligten.  <a href=""http://data.europa.eu/esco/skill/73e7e2f4-7e5f-4e6c-86c2-3b5fbd191172"" class=""_blanktarget"">http://data.europa.eu/esco/skill/73e7e2f4-7e5f-4e6c-86c2-3b5fbd191172</a>",1,,,"core_competency\competency_rule_all",2,null,,224,,
5_ESCOpnds,5_ESCOpnds-VUmD_1_1,"digitale Datenverarbeitung verstehen","Die OncaPflege Teilnehmenden vergleichen  analoge und digitale Datenverarbeitung und können diese anhand exemplarischer Beispiele in ihrem Pflegealltag ermitteln.",0,,,,0,null,,225,,
5_ESCOpnds,5_ESCOpnds-VUmD_1_2_a,"Daten nach Schutzbedarf kategorisieren","Die OncaPflege Teilnehmenden benennen unterschiedliche Datenarten, Datenkategorien, besonderes schützenswerte Daten und überprüfen beispielhafte Datenverarbeitungsanlässe im Sinne des Versorgungsauftrags.",0,,,,0,null,,226,,
5_ESCOpnds,5_ESCOpnds-VUmD_1_2_b,"Bedenken und Sorgen vor unzureichendem Datenschutz adressieren","Die OncaPflege Teilnehmenden interpretieren die Bedenken und Sorgen von Pflegeempfangenden im Zusammenhang mit der Datenverarbeitung und begründen Lösungsvorschläge mit angemessener Sensibilität.",0,,,,0,null,,227,,
5_ESCOpnds,5_ESCOpnds-VUmD_2_1_a,"Datenschutz konformen Einsatz von Sprachassistenten reflektieren","Die OncaPflege Teilnehmenden benennen datenschutzrechtliche Herausforderungen bei der Verwendung von Sprachassistenten und beurteilen den Einsatz in der beruflichen Pflege.",0,,,,0,null,,228,,
5_ESCOpnds,5_ESCOpnds-VUmD_2_1_b,"Datenschutz konformen Einsatz von Sensorik reflektieren","Die OncaPflege Teilnehmenden benennen die datenschutzrechtliche Abwägungsgründe für den Einsatz ausgewählter Sensoriksysteme und beurteilen den Einsatz in der beruflichen Pflege.",0,,,,0,null,,229,,
5_ESCOpnds,5_ESCOpnds-VUmD_2_1_c,"Datenschutz konformen Einsatz von selbstlernenden Systemen reflektieren","Die OncaPflege Teilnehmenden benennen die datenschutzrechtlichen Abwägungsgründe für den Einsatz selbstlernender Systeme und beurteilen den Einsatz in der beruflichen Pflege.",0,,,,0,null,,230,,
5_ESCOpnds,5_ESCOpnds-PbrD_3_1_c,"Kriterien der DSGVO in der Telepflege anwenden","Die OncaPflege-Teilnehmenden benennen die für die Gesprächssituation bei räumlicher Distanz relevanten Kriterien der DSGVO und gestalten Gesprächssituation entsprechend.",0,,,,0,null,,231,,
,6_ESCOdS,"ESCO: digitale Sicherheitsmaßnahmen anwenden","<p dir=""ltr"" style=""text-align:left;""></p><p>Befolgen einfacher Methoden zum Schutz digitaler Geräte und Inhalte. <a href=""http://data.europa.eu/esco/skill/f4346299-e22a-4686-8e61-2c9b0cd51c7d""><u>http://data.europa.eu/esco/skill/f4346299-e22a-4686-8e61-2c9b0cd51c7d</u></a></p><br /><p></p>",1,,,"core_competency\competency_rule_all",2,null,,232,,
6_ESCOdS,6_ESCOdS-VUmD_3_1_b,"Zugriffsrechte verstehen","Die OncaPflege Teilnehmenden benennen die Bedeutung und Reichweite von Zugriffsrechten und ordnen diese in beispielhafte Rollengefüge und Arbeitsprozesse ein.",0,,,,0,null,,233,,
6_ESCOdS,6_ESCOdS-VUmD_3_1_a,"Einfallstore für Cyberangriffe erkennen","<p dir=""ltr"" style=""text-align:left;""></p><p>Die OncaPflege Teilnehmenden ermitteln mögliche Einfallstore für Cyberangriffe in der beruflichen Pflege.</p><br /><p></p>",1,,,,0,null,,234,,
6_ESCOdS,6_ESCOdS-VUmD_3_2_a,"Einfallstore für Cyberangriffe schließen","<p dir=""ltr"" style=""text-align:left;""></p><p>Die OncaPflege Teilnehmenden benennen  typische Einfallswege für Cyberattacken und bewerten die Maßnahmen zur Wahrung der Vertraulichkeit der Nutzerdaten in ihrem Unternehmen.</p><br /><p></p>",1,,,,0,null,,235,,
6_ESCOdS,6_ESCOdS-VUmD_3_2_b,"sichere Passwörter erstellen","Die OncaPflege Teilnehmenden benennen Kriterien für ein sicheres Passwort und gestalten ein sicheres Passwort mithilfe einfacher Methoden.",0,,,,0,null,,236,,
6_ESCOdS,6_ESCOdS-VUmD_3_3,"Personenbezogene Daten in der ambulanten Pflege datenschutzkonform handhaben","Die OncaPflege Teilnehmenden beurteilen Situationen in der ambulanten Pflege nach dem Gefährdungspotenzial für die personenbezogene Daten der Pflegeempfangenden und leiten entsprechende Maßnahmen ab.",0,,,,0,null,,237,,
6_ESCOdS,6_ESCOdS-VUmD_3_4,"Datenschutzverletzungen verstehen","Die OncaPflege Teilnehmenden benennen beispielhafte Datenschutzverletzungen, den gesetzlich vorgeschriebenen Umgang damit und bewerten die Auswirkung für die Betroffenen im Kontext des Versorgungsauftrages.",0,,,,0,null,,238,,
6_ESCOdS,6_ESCOdS-VUmD_3_5_a,"Cyberangriffe abwehren","Die OncaPflege Teilnehmenden interpretieren einen Cyberangriff und seine Phasen  und gestalten einen datenschutzkonformen Umgang damit.",0,,,,0,null,,239,,
6_ESCOdS,6_ESCOdS-VUmD_3_5_b,"eigene Haltung zu Datenschutzverletzungen reflektieren","Die OncaPflege Teilnehmenden entwickeln eine Haltung zum Umgang mit eigenem Fehlerverhalten im beruflichen Pflegealltag am Beispiel von Phishing.",0,,,,0,null,,240,,
6_ESCOdS,6_ESCOdS-PbrD_3_1_c,"Kriterien der DSGVO in der Telepflege anwenden","<p dir=""ltr"" style=""text-align:left;""></p><p>Die OncaPflege-Teilnehmenden benennen die für die Gesprächssituation bei räumlicher Distanz relevanten Kriterien der DSGVO und gestalten Gesprächssituation entsprechend.</p><br /><p></p>",1,,,,0,null,,241,,
,7_KBPbrD,"Kommunikation und Beziehung in der Pflege bei räumlicher Distanz gestalten","<p dir=""ltr"" style=""text-align:left;""></p><p>Kommunikation und Beziehung in der Pflege bei räumlicher Distanz gestalten</p><br /><p></p>",1,,,"core_competency\competency_rule_all",2,null,,242,,
7_KBPbrD,7_KBPbrD-PbrD_3_1_a,"Sender- Empfänger Modell auf die technikgestützte Pflege übertragen","Die OncaPflege Teilnehmenden ordnen die Kommunikationselemente in die PbrD ein.",0,,,,0,null,,243,,
7_KBPbrD,7_KBPbrD-PbrD_3_1_c,"Kriterien der DSGVO in der Telepflege anwenden","<p dir=""ltr"" style=""text-align:left;""></p><p>Die OncaPflege-Teilnehmenden benennen die für die Gesprächssituation bei räumlicher Distanz relevanten Kriterien der DSGVO und gestalten Gesprächssituation entsprechend.</p><br /><p></p>",1,,,,0,null,,244,,
7_KBPbrD,7_KBPbrD-PbrD_3_2_a,"Kameraeinstellungen verstehen","Die  OncaPflege-Teilnehmenden 
benennen Einstellungen von  Kamerawinkel, -ausrichtung und -entfernung und gestalten somit das Verhältnis von Nähe und  Distanz.",0,,,,0,null,,245,,
7_KBPbrD,7_KBPbrD-PbrD_3_2_b,"Informationsqualität in der Telepflege beurteilen","Die OncaPflege-Teilnehmenden analysieren die Güte der Informationsqualität angesichts möglicher Kommunikationsverzerrungen.",0,,,,0,null,,246,,
7_KBPbrD,7_KBPbrD-PbrD_3_3,"Vertrauensvolle Kommunikation in der Telepflege gestalten","Die OncaPflege-Teilnehmenden benennen ausgewählte Besonderheiten der Kommunikation und gestalten Strategien für eine vertrauensvolle Beziehung in der PbrD.",0,,,,0,null,,247,,
7_KBPbrD,7_KBPbrD-DB_1_3,"Funktionsfähigkeit von Ton und Bild herstellen","<p dir=""ltr"" style=""text-align:left;""></p><p>Die OncaPflege-Teilnehmenden können die Funktionsbedingungen für den Einsatz einer Kamera/ eines externen Mikrofons/ /Lautsprechern benennen und können Handlungen zur Herstellung der Funktionsfähigkeit ableiten</p><br /><p></p>",1,,,,0,null,,248,,
4_CGVdT,4_CGVdT-Tirma_1_1,"Zentrale Funktionen von Smartphones im ambulanten Pflegedienst.","<p dir=""ltr"" style=""text-align:left;"">Die Teilnehmenden benennen zentrale Funktionen von Smartphones im ambulanten Pflegedienst.<br /></p>",1,,,,0,null,,265,,
4_CGVdT,4_CGVdT-Tirma_1_2,"Risiken mobiler Endgeräte im ambulanten Pflegedienst","<p dir=""ltr"" style=""text-align:left;"">Die OncaPflege-Teilnehmenden benennen vier zentrale Risiken mobiler Endgeräte im ambulanten Pflegedienst und bewerten den Einsatz mobiler Endgeräte im ambulanten Pflegedienst unter dem Einbezug sozialer Aspekte.<br /></p>",1,,,,0,null,,266,,
4_CGVdT,4_CGVdT-IuW_5_1,"Stand der Telematikinfrastruktur in Deutschland","<p dir=""ltr"" style=""text-align:left;"">Die OncaPflege Teilnehmenden fassen den aktuellen Stand der Telematikinfrastruktur in Deutschland zusammen und benennen   Chancen und Grenzen für die berufliche Pflege auf einer Meta-Ebene.<br /></p>",1,,,,0,null,,267,,
